Reporting country (Name),Partner country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[2019],S
Madagascar,France,"Mackerel prepared or preserved, not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,5.96,
Madagascar,France,"Mackerels nei, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.08,
Madagascar,France,"Marine fish nei, minced, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,7.33,
Madagascar,France,"Marine fish nei, prepared or preserved, not minced",Imports,Tonnes – net product weight,Tonnes – net product weight,3.33,
Madagascar,France,"Miscellaneous molluscs, other than live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,France,"Mussel meat, prepared or preserved, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.21,
Madagascar,France,"Mussels nei, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.06,
Madagascar,France,"Mussels nei, other than live, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.96,
Madagascar,France,"Mussels, live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.07,
Madagascar,France,"Octopus, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,576.76,
Madagascar,France,"Octopus, live, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,116.03,
Madagascar,France,"Octopus, other than live, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,273.94,
Madagascar,France,"Octopus, prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,25.36,
Madagascar,France,"Other aquatic invertebrates, prepared or preserved, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.65,
Madagascar,France,"Oysters, live fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.36,
Madagascar,France,"Oysters, other than live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,France,"Pacific salmons, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,1.86,
Madagascar,France,"Pilchards (Sardinops spp.), prep. or pres., not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,7.22,
Madagascar,France,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), even smoked, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,77.65,
Madagascar,France,"Salmon fillets, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.42,
Madagascar,France,"Salmonoids, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,France,"Salmonoids, not minced, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,1.84,
Madagascar,France,"Salmons, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,11.11,
Madagascar,France,"Scallop meat, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,0.29,
Madagascar,France,"Scallops, including queen scallop, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.24,
Madagascar,France,"Scallops, live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.52,
Madagascar,France,"Scallops, other than live, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,France,"Scallops, other than live, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.48,
Madagascar,France,"Seabreams nei, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,2.36,
Madagascar,France,"Seaweeds and other algae, fit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.09,
Madagascar,France,"Seaweeds and other algae, unfit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,1467.48,
Madagascar,France,"Seaweeds and other algae, unfit for human consumption, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,France,"Shrimps and prawns, dried, salted or in brine, smoked nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,France,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,6141.74,
Madagascar,France,"Shrimps and prawns, other than coldwater, even smoked, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,41.22,
Madagascar,France,"Shrimps and prawns, prep. or pres., in airtight containers",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,France,"Skipjack tuna, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,23.47,
Madagascar,France,"Soles (Solea spp), frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.09,
Madagascar,France,"Swordfish fillets, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,1.37,
Madagascar,France,"Trout fillets, fresh and chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,France,"Trouts and chars, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.11,
Madagascar,France,"Trouts and chars, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.58,
Madagascar,France,"Trouts and chars, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,0.03,
Madagascar,France,"Tuna loins and fillets, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,6.63,
Madagascar,France,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,3481.43,
Madagascar,France,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,17.06,
Madagascar,France,"Yellowfin tuna, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,1.83,
Madagascar,France,"Yellowfin tuna, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,19.89,
Madagascar,French Polynesia,Miscellaneous corals and shells,Imports,Tonnes – net product weight,Tonnes – net product weight,39.16,
Madagascar,Germany,Agar agar nei,Imports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,Germany,"Aquatic invertebrates, other than prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,0.15,
Madagascar,Germany,"Fish live, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,1.99,
Madagascar,Germany,"Fishmeals, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,Germany,Ornamental saltwater fish,Exports,Tonnes – net product weight,Tonnes – net product weight,0.55,
Madagascar,Germany,"Seaweeds and other algae, unfit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,Germany,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,49.02,
