Country (Name),FAOSTAT group (Name),Element (Name),Unit (Name),[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S
Madagascar,Molluscs excl. cephalopods,Food imports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6.67,,5.71,,22,,18.67,,5.56,,13.33,,32.92,,37.67,,64.67,,17.67,,27.67,,16.67,,33.33,,37.67,,13.33,,7.67,,22.33,,44.33,,95.33,,178.67,
Madagascar,Molluscs excl. cephalopods,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Molluscs excl. cephalopods,Production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,200,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,31,,30,,16,,44,,50,,87,,100,,100,,100,,90,,106,,320,,314,,330,,350,,350,,350,,350,,400,,400,,450,,400,,400,,400,,400,,400,,400,,380,,360,,340,,400,,400,,290,,350,,382,,1799,,5473,,5221,
Madagascar,Molluscs excl. cephalopods,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Molluscs excl. cephalopods,Total food supply,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,200,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,31,,30,,16,,44,,50,,87,,100,,21,,41,,0,...,0,...,259,,173,,253,,163,,252,,181,,268,,88.67,,93.71,,41,,74.67,,10.56,,251.33,,87.92,,228.67,,224.67,,98.67,,94.67,,43,,42.33,,43.67,,30.33,,11.67,,20.33,,1584.33,,5430.33,,5259.67,
Madagascar,Pelagic fish,Food exports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3500,,10400,,1600,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,7.78,,30,,107.67,,234.72,,15.22,,156,,6.44,,617.33,,270.11,,145.22,,36.11,,90.33,,298.44,,60.56,,1167.56,,840.22,,889.78,,1356.44,,2246,
Madagascar,Pelagic fish,Food imports,Tonnes - live weight,1000,,1000,,1200,,1000,,1200,,1200,,1200,,1400,,1200,,1200,,1800,,1000,,1600,,1000,,1502,,322,,612,,0,...,6,,38,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,292.22,,365.33,,17206.89,,15192.44,,8963.56,,11887.56,,7833.33,,18090.22,,14491.33,,17272.22,,15092.89,,14077.33,,19716.22,,25584.89,,18218.28,,16511,,33646.67,,25664.28,,16716.39,,16788.67,,20816.28,,22738,,16471.22,,19081.11,,22776,,16749.56,,15354.22,,15814.22,
Madagascar,Pelagic fish,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4000,,5000,,7500,,9000,,9210,,10860,,8380,,2580,,5000,,5000,
Madagascar,Pelagic fish,Production,Tonnes - live weight,815,,609,,306,,704,,1603,,2705,,2468,,2133,,3202,,3426,,3655,,3712,,9267,,15424,,5681,,4019,,4161,,4306,,4524,,4747,,4973,,5208,,5446,,5688,,5936,,6000,,6061,,6151,,6237,,6319,,6358,,6390,,6422,,6590,,6753,,6910,,7062,,7208,,7348,,7484,,7674,,7858,,8081,,8200,,8965,,8670,,8708,,8710,,8510,,8809,,8764,,8737,,8654,,8676,,8687,,8659,,8529,
Madagascar,Pelagic fish,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
